watershed_group_code,watershed_general,aggregated_crossings_id,modelled_crossing_id,stream_crossing_id,barrier_status,pscis_status,pscis_road_name,rail_track_name,rail_operator_english_name,pscis_stream_name,gnis_stream_name,stream_order,stream_order_parent,rail_barriers_dnstr,rail_barriers_dnstr_count,barriers_anthropogenic_dnstr_count,barriers_anthropogenic_upstr_count,barriers_anthropogenic_upstr_accessible_count,barriers_anthropogenic_upstr_spawningrearing_count,barriers_anthropogenic_upstr_spawningrearing_rail_count,barriers_ch_cm_co_pk_sk_dnstr,ch_cm_co_pk_sk_network_km,barriers_st_dnstr,st_network_km,ch_spawning_km,ch_rearing_km,cm_spawning_km,co_spawning_km,co_rearing_km,pk_spawning_km,sk_spawning_km,sk_rearing_km,st_spawning_km,st_rearing_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,ch_cm_co_pk_sk_network_km_dnstr,st_network_km_dnstr,ch_spawning_km_dnstr,ch_rearing_km_dnstr,cm_spawning_km_dnstr,co_spawning_km_dnstr,co_rearing_km_dnstr,pk_spawning_km_dnstr,sk_spawning_km_dnstr,sk_rearing_km_dnstr,st_spawning_km_dnstr,st_rearing_km_dnstr,all_spawningrearing_km_dnstr
LFRA,FRASER,1010305157,10305157,,POTENTIAL,,,None,Southern Railway of British Columbia,,West Creek,2,10,,,4,11,11,11,0,{},4.34,{},4.34,0,0,4.08,0,4.29,0,0,0,0,0,4.32,0.44,6.4399999999999995,6.4399999999999995,0,4.470000000000001,5.85,5.31,5.800000000000001,0,0,0,0,4.53,5.859999999999999
LFRA,FRASER,1010305159,10305159,,POTENTIAL,,,None,Canadian Pacific,,,2,2,{1010305214},1,6,2,0,0,0,{},0.23,{},0.23,0,0,0.23,0.23,0.23,0,0,0,0,0.23,0.23,0.23,1.08,1.08,0,0,1.08,1.08,1.08,0,0,0,0,1.08,1.08
LFRA,FRASER,1010305162,10305162,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,Cougar Canyon Creek,1,10,{1010305007},1,1,2,2,2,0,{},3.52,{},3.52,0,0,3.51,3.51,3.51,0,0,0,0,3.52,3.52,0.11,3,3,0,0,2.94,2.94,2.94,0,0,0,0,2.93,2.93
LFRA,FRASER,1010305163,10305163,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,1,1,{1010305007},1,1,2,2,2,0,{},0.8,{},0.8,0,0,0.29,0,0,0,0,0,0,0,0.29,0.03,3,3,0,0,2.94,2.94,2.94,0,0,0,0,2.93,2.93
LFRA,FRASER,1010305166,10305166,,POTENTIAL,,,None,British Columbia Railway Company,,,1,4,{1010304979},1,4,,0,0,0,{},0.76,{},0.76,0,0,0,0,0,0,0,0,0,0,0,0,71.23,71.24,29.02,30.38,35.27,30.39,34.56,29.02,0,0,29.02,35.28,35.28
LFRA,FRASER,1010305167,10305167,,POTENTIAL,,,None,Canadian Pacific,,Cook Slough,2,3,{1010305065},1,1,2,2,0,0,{},2.16,{},2.16,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0
LFRA,FRASER,1010305168,10305168,,POTENTIAL,,,None,Southern Railway of British Columbia,,,1,3,,,,3,3,3,0,{},1.43,{},1.43,0,0,1.12,0,0,0,0,0,0,1.43,1.43,0.32,,,,,,,,,,,,,
LFRA,FRASER,1010305169,10305169,,POTENTIAL,,,None,Southern Railway of British Columbia,,,1,3,,,,1,1,0,0,{},0.21,{},0.21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1010305170,10305170,,POTENTIAL,,,None,Southern Railway of British Columbia,,,1,3,,,1,1,1,0,0,{},0.73,{},0.73,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0
LFRA,FRASER,1010305171,10305171,,POTENTIAL,,,None,Southern Railway of British Columbia,,,1,4,,,,,0,0,0,{},0.33,{},0.33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1010305173,10305173,,POTENTIAL,,,None,Canadian Pacific,,,2,4,,,5,5,5,0,0,{},3.04,{},3.04,0,0,0,0,0,0,0,0,0,0,0,0,72.47000000000001,72.48,29.02,30.38,35.27,30.39,34.56,29.02,0,0,29.02,35.28,35.28
LFRA,FRASER,1010305174,10305174,,POTENTIAL,,,None,Canadian Pacific,,,1,10,,,,3,3,3,0,{},1.2,{},1.2,0,0,0.88,0,0,0,0,0,0,0,0.88,0,,,,,,,,,,,,,
LFRA,FRASER,1010305179,10305179,,POTENTIAL,,,None,Canadian Pacific,,,2,3,,,5,5,5,5,0,{},3.16,{},3.16,0,0,2.44,0,2.03,0,0,0,0,2.52,2.52,0.44,71.12,71.13,29.020000000000003,30.38,35.43,30.39,34.720000000000006,29.020000000000003,0,0,29.020000000000003,35.440000000000005,35.440000000000005
LFRA,FRASER,1010305180,10305180,,POTENTIAL,,,None,Burlington Northern Santa Fe Railway,,,2,10,,,,10,10,7,0,{},2.38,{},2.38,0,0,1.63,0,1.63,0,0,0,0,1.63,1.63,0.34,,,,,,,,,,,,,
LFRA,FRASER,1010305183,10305183,,POTENTIAL,,,Annacis/Queensboro Branch,Southern Railway of British Columbia,,,1,,,,,,0,0,0,{},0.2,{},0.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1010305187,10305187,,POTENTIAL,,,Marpole,Canadian Pacific,,,1,,,,3,5,5,3,0,{},1.24,{},1.49,0,0,1.04,0,0.88,0,0,0,0,1.04,1.04,0.06,6.09,6.09,0,0,3.33,0,3.33,0,0,0,0,3.39,3.39
LFRA,FRASER,1010305189,10305189,,POTENTIAL,,,None,Canadian Pacific,,Tulley Slough,1,3,{1010305005},1,2,2,2,2,1,{},1.43,{},1.43,0,0,1.43,0,1.43,0,0,0,0,1.43,1.43,0.04,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0.5
LFRA,FRASER,1010305191,10305191,,POTENTIAL,,,Lulu Island Industrial,Canadian National,,,3,,{1010305111},1,2,1,1,1,0,{},11.79,{},11.79,0,0,4.07,0,3.43,0,0,0,0,4.07,4.07,2.59,2.24,2.24,0,0,1.29,0,0.69,0,0,0,0,1.31,1.31
LFRA,FRASER,1010305195,10305195,,POTENTIAL,,,None,Canadian Pacific,,,1,2,"{1010305084,1024713007}",2,3,,0,0,0,{},0.26,{},0.26,0,0,0,0,0,0,0,0,0,0,0,0,6.41,6.41,0,0.04,3.22,1.04,2.95,0,0,0,0,3.23,3.2199999999999998
LFRA,FRASER,1010305196,10305196,,POTENTIAL,,,None,Canadian Pacific,,,1,3,{1010305084},1,2,,0,0,0,{},1,{},1,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.91,0,0.04,0.5800000000000001,0.5800000000000001,0.5700000000000001,0,0,0,0,0.5800000000000001,0.5800000000000001
LFRA,FRASER,1010305197,10305197,,POTENTIAL,,,None,Canadian Pacific,,,1,3,{1010305085},1,2,,0,0,0,{},0.08,{},0.61,0,0,0,0,0,0,0,0,0,0.58,0.58,0.58,0.13,0.13,0,0,0,0,0,0,0,0,0,0.13,0.13
LFRA,FRASER,1010305208,10305208,,POTENTIAL,,,None,British Columbia Railway Company,,,2,4,,,4,2,2,0,0,{},2.36,{},2.36,0,0,0,0,0,0,0,0,0,0,0,0,71.37,71.38,29.020000000000003,30.38,35.269999999999996,30.39,34.56,29.020000000000003,0,0,29.020000000000003,35.28,35.28
LFRA,FRASER,1010305214,10305214,,POTENTIAL,,,None,Canadian Pacific,,,2,2,,,5,3,1,1,1,{},0.33,{},0.33,0,0,0.33,0.33,0.33,0,0,0,0,0.33,0.33,0.1,0.98,0.98,0,0,0.98,0.98,0.98,0,0,0,0,0.98,0.98
LFRA,FRASER,1010305215,10305215,,POTENTIAL,,,None,Southern Railway of British Columbia,,,3,4,,,2,2,2,1,0,{},3.17,{},3.17,0,0,1.6,0,1.6,0,0,0,0,1.6,1.6,0.08,13.899999999999999,13.899999999999999,5.79,7.49,12.59,8.319999999999999,11.76,6.789999999999999,0,0,5.79,11.77,12.59
LFRA,FRASER,1010305216,10305216,,POTENTIAL,,,Lulu Island Industrial,Canadian National,,,2,10,,,,1,1,1,0,{},1.47,{},1.47,0,0,0,0,0,0,0,0,0,0.4,0.4,0.16,,,,,,,,,,,,,
LFRA,FRASER,1024704084,24704084,,POTENTIAL,,,None,Southern Railway of British Columbia,,Nathan Creek,4,10,,,3,25,25,11,0,{},22.86,{},22.86,0,0.21,14.63,0.65,12.37,0,0,0,0,15.1,15.1,4.82,24.669999999999998,27.740000000000002,9.26,9.43,16.04,9.43,14.77,9.33,0,0,9.26,16.509999999999998,17.400000000000002
LFRA,FRASER,1024712960,24712960,,POTENTIAL,,,None,Canadian National,,,1,,,,,2,1,0,0,{},1.19,{},1.19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
LFRA,FRASER,1024712996,24712996,,POTENTIAL,,,None,Canadian National,,Benson Canal,3,10,,,1,17,17,14,0,{},22.87,{},24.76,0,0.45,18.52,4.44,17.76,0.09,0,0,0,18.52,18.93,4.37,0.81,0.82,0,0.81,0.81,0.81,0.81,0.81,0,0,0,0.81,0.81
